name,album,artist,release_date,length,popularity,key,mode,danceability,acousticness,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature,valence,answer
逆光 - ウタ from ONE PIECE FILM RED,逆光 (ウタ from ONE PIECE FILM RED),Ado,2022-07-05,237862,73,10,0,0.563,0.000382,0.901,0.00000481,0.388,-3.926,0.11,145.004,4,0.684,fall
悪魔の子,悪魔の子,Higuchi Ai,2022-01-10,227679,54,6,0,0.561,0.267,0.686,0,0.137,-6.273,0.0473,89.97,4,0.22,fall
Tot Musica,ウタの歌 ONE PIECE FILM RED,Ado,2022-08-09,195226,76,5,0,0.669,0.073,0.934,0,0.123,-3.948,0.0653,129.974,4,0.175,fall
裸の勇者,裸の勇者,Vaundy,2022-01-07,201973,68,9,0,0.442,0.0127,0.888,0.000727,0.2,-5.747,0.121,163.032,4,0.435,fall
ヨワネハキ,ヨワネハキ,MAISONdes,2021-05-19,166966,66,7,1,0.78,0.0432,0.814,0.0000828,0.168,-3.617,0.0291,108.025,4,0.59,fall
たばこ,コレカラー,Koresawa,2017-08-09,374600,52,5,1,0.666,0.864,0.322,0,0.336,-8.298,0.0314,148.151,4,0.25,fall
ブルーベリー・ナイツ,hope,Macaroni Empitsu,2020-04-01,244869,66,5,1,0.66,0.278,0.865,0,0.0931,-3.642,0.0277,106.008,4,0.772,fall
炎と森のカーニバル,Tree,SEKAI NO OWARI,2015-01-14,298040,53,9,1,0.642,0.00285,0.879,0.0213,0.143,-5.205,0.0278,115.996,4,0.616,fall
貴方解剖純愛歌?死ね?,tamago,Aimyon,2015-08-05,266520,57,7,1,0.422,0.0028,0.918,0,0.0409,-3.347,0.069,168.029,4,0.469,fall
soup,TOY,04 Limited Sazabys,2015-10-28,195640,51,4,1,0.554,0.000754,0.83,0.0000743,0.09,-3.774,0.0473,139.973,4,0.818,fall
10月無口な君を忘れる,10月無口な君を忘れる,あたらよ,2021-03-24,332285,55,5,1,0.262,0.0429,0.47,0,0.236,-4.663,0.0433,75.096,4,0.307,fall
Prince,Prince / ただのスパイス,SANARI,2019-01-25,252276,27,9,1,0.808,0.244,0.82,0,0.107,-6.238,0.0503,99.999,4,0.68,fall
PINK BLOOD,PINK BLOOD,Hikaru Utada,2021-06-02,197083,52,6,1,0.666,0.277,0.534,0.0000357,0.179,-7.286,0.0893,100,4,0.617,fall
未完成,未完成,Leo Ieiri,2020-01-29,240546,52,7,1,0.66,0.163,0.722,0,0.306,-3.525,0.0344,90.116,4,0.425,fall
踊り子,踊り子,Vaundy,2021-11-17,230109,73,7,1,0.718,0.845,0.475,0.801,0.105,-11.469,0.0611,157.032,4,0.678,fall
シルエット,TIME,KANA-BOON,2015-01-21,240133,73,2,1,0.436,0.0000103,0.934,0.14,0.321,-2.685,0.0507,91.481,4,0.384,fall
サーチライト,サーチライト,Kiro Akiyama,2020-11-13,241000,37,8,1,0.451,0.0000236,0.897,0.0196,0.0738,-3.005,0.0668,95.385,4,0.554,fall
MUSIC!!!,MUSIC!!! / ZER?,AAA,2008-08-27,303000,27,5,1,0.593,0.36,0.934,0,0.33,-2.828,0.059,119.977,4,0.547,fall
スターライトパレード,スターライトパレード,SEKAI NO OWARI,2011-11-23,343506,40,2,1,0.616,0.0051,0.776,0.0000227,0.0873,-5.779,0.0341,125.061,4,0.256,fall
DAYBREAK FRONTLINE,彼はきっと魔法を使う。,MARY,2017-11-02,216000,58,0,1,0.628,0.543,0.928,0.00000681,0.152,-2.421,0.0452,136.014,4,0.545,fall
115万キロのフィルム,エスカパレード,Official HIGE DANdism,2018-04-11,324633,72,3,1,0.516,0.00345,0.791,0,0.141,-1.927,0.0318,96.921,4,0.48,fall
三文小説,三文小説,King Gnu,2020-10-30,280533,60,4,0,0.384,0.641,0.487,0,0.254,-8.26,0.0508,88.055,4,0.0994,fall
渡月橋 ~君 想ふ~,倉木麻衣×名探偵コナン COLLABORATION BEST 21 -真実はいつも歌にある!-,Mai Kuraki,2021-03-06,245533,51,4,0,0.626,0.666,0.785,0,0.0619,-4.976,0.0317,94.022,4,0.768,fall
紅蓮華,紅蓮華,LiSA,2019-07-03,238586,56,4,0,0.544,0.00336,0.979,0.000116,0.0775,-2.8,0.153,135.001,4,0.31,fall
いちょう,あの・・こんなんて?きましたケト?。,Yusuke,2009-12-16,264826,0,0,1,0.574,0.0388,0.846,0,0.388,-5.94,0.0346,81.979,4,0.768,fall
Honey,Harvest,04 Limited Sazabys,2022-10-12,182640,44,5,1,0.426,0.0000537,0.81,0.0022,0.345,-3.282,0.0496,138.05,4,0.565,fall
ミカンセイ,ALL,AAA,2007-01-01,300973,28,1,0,0.675,0.0349,0.642,0,0.122,-7.471,0.0244,97.983,4,0.5,fall
First Love,First Love,Hikaru Utada,1999-03-10,257293,66,7,1,0.438,0.122,0.434,0,0.15,-8.37,0.0371,179.913,4,0.195,fall
Baby Don't Cry,Baby Don't Cry,Namie Amuro,2007-01-24,319826,42,8,1,0.766,0.0562,0.713,0,0.0695,-6.198,0.0348,124.961,4,0.631,fall
月光,インソムニア,Chihiro Onitsuka,2001-03-07,300200,58,6,0,0.5,0.895,0.375,0,0.0954,-7.239,0.0322,74.9,4,0.335,fall
想いあい,DAYS,the shes gone,2019-01-23,245580,50,9,1,0.592,0.0296,0.741,0,0.298,-5.736,0.0361,132.063,4,0.605,fall
フォニイ,KAF+YOU KAFU COMPILATION ALBUM シンメトリー,音楽的同位体 可不(KAFU),2021-11-24,189884,0,4,0,0.624,0.0724,0.897,0.0000257,0.53,-6.651,0.106,169.903,4,0.609,fall
クロノスタシス,フェイクワールドワンダーランド,Kinokoteikoku,2014-10-29,227813,54,1,1,0.463,0.0278,0.755,0.00763,0.129,-5.836,0.0281,83.873,4,0.696,fall
廻廻奇譚,廻廻奇譚,Eve,2020-10-03,219234,58,5,0,0.565,0.0128,0.919,0,0.292,-3.378,0.0898,92.325,4,0.565,fall
怪物,怪物,YOASOBI,2021-01-06,206000,72,1,1,0.627,0.0699,0.824,0.0000657,0.31,-3.419,0.118,169.935,4,0.774,fall
CHAINSAW BLOOD,CHAINSAW BLOOD,Vaundy,2022-10-12,200997,70,0,1,0.528,0.0000738,0.855,0.00000181,0.281,-5.229,0.0953,146.987,4,0.549,fall
U,U,millennium parade,2021-07-12,187266,65,9,0,0.651,0.0437,0.913,0.00133,0.311,-5.667,0.0384,120.028,4,0.736,fall
コインランドリー,コインランドリー,Kyanai,2021-10-27,249045,56,10,1,0.679,0.368,0.75,0,0.08,-4.386,0.029,119.032,4,0.769,fall
Flamingo,Flamingo / TEENAGE RIOT,Kenshi Yonezu,2018-10-31,195293,38,7,1,0.769,0.135,0.658,0,0.0984,-6.451,0.0529,114.052,4,0.922,fall
ギラギラ,ギラギラ,Ado,2021-02-14,276213,62,2,1,0.651,0.052,0.861,0,0.0878,-4.128,0.0568,96.014,4,0.731,fall
六兆年と一夜物語,ボカロ三昧,WagakkiBand,2014-04-23,235413,47,11,0,0.505,0.11,0.96,0.085,0.0787,-2.105,0.133,91.913,4,0.811,fall
僕たちは戦わない,僕たちは戦わない<Type A>,AKB48,2015-05-20,326560,26,1,1,0.514,0.0552,0.907,0.000153,0.271,-2.787,0.0398,114.996,4,0.67,fall
負けない心,負けない心,AAA,2010-08-18,260839,29,0,0,0.54,0.0169,0.958,0.00000383,0.0879,-2.343,0.0578,133.986,4,0.383,fall
サブリナ,サブリナ,Leo Ieiri,2012-02-15,215402,29,7,1,0.629,0.0167,0.875,0,0.291,-2.261,0.0354,136.017,4,0.407,fall
WanteD! WanteD!,ENSEMBLE,Mrs. GREEN APPLE,2018-04-17,217386,58,0,1,0.559,0.025,0.806,0,0.0433,-2.461,0.0498,160.019,4,0.632,fall
a.m.3:21,a.m.3:21,yama,2020-08-12,208409,54,5,0,0.634,0.295,0.736,0.00011,0.215,-5.006,0.109,110.169,4,0.752,fall
YELL,ハジマリノウタ,Ikimonogakari,2009-12-23,356106,50,5,1,0.578,0.582,0.59,0,0.0972,-4.119,0.0294,149.915,4,0.304,fall
今夜このまま,今夜このまま,Aimyon,2018-10-24,238093,49,1,1,0.441,0.0254,0.852,0,0.0862,-3.595,0.0383,104.855,4,0.64,fall
なんでもないよ、,なんでもないよ、,Macaroni Empitsu,2021-11-03,218751,66,4,1,0.597,0.278,0.525,0,0.0692,-6.039,0.0519,171.561,4,0.589,fall
CITRUS,SiX,Da-iCE,2021-01-20,248653,72,1,1,0.549,0.22,0.861,0,0.361,-2.526,0.0459,82.042,4,0.739,fall
長い間,長い間 ~キロロの森~,Kiroro,2006,280786,48,5,1,0.562,0.816,0.517,0,0.0977,-6.829,0.0289,122.942,4,0.355,fall
あなた,初恋,Hikaru Utada,2018-06-27,277133,57,8,1,0.38,0.466,0.699,0,0.117,-6.436,0.063,178.007,4,0.799,fall
I beg you,Penny Rain,Aimer,2019-04-09,267213,0,5,0,0.456,0.00321,0.893,0,0.121,-2.825,0.0813,127.884,4,0.478,fall
ウタカタララバイ,ウタカタララバイ,Ado,2022-08-05,173373,65,6,1,0.524,0.179,0.914,0,0.17,-2.104,0.12,89.015,4,0.63,fall
リフレインが叫んでる,Delight Slight Light KISS,Yumi Matsutoya,1988-11-26,262620,54,4,0,0.766,0.414,0.826,0.00105,0.339,-6.59,0.0302,122.987,4,0.708,fall
if,if,Kana Nishino,2010-08-04,282800,53,7,1,0.644,0.389,0.643,0,0.16,-3.861,0.032,122.956,4,0.493,fall
季節は次々死んでいく,世界収束二一一六,amazarashi,2016-02-24,338880,55,0,1,0.545,0.105,0.897,0,0.209,-3.983,0.0409,90.517,4,0.459,fall
Still Love You,Still Love You,AAA,2012-05-16,320600,26,0,0,0.555,0.0279,0.852,0,0.287,-3.98,0.0389,130.011,4,0.514,fall
ロマンスがありあまる,ロマンスがありあまる,Gesu No Kiwami Otome,2015-06-17,224640,36,5,1,0.513,0.246,0.886,0.0000549,0.0961,-3.851,0.0623,169.896,4,0.573,fall
多分、風。,834.194,sakanaction,2019-06-19,292000,50,9,1,0.632,0.019,0.744,0.000959,0.103,-5.161,0.0372,139.06,4,0.613,fall
雀ノ欠伸,ブルーピリオド,Saucy Dog,2019-10-02,210746,55,2,1,0.595,0.221,0.885,0,0.0789,-4.714,0.0347,105.975,4,0.534,fall
二人セゾン,真っ白なものは汚したくなる (Complete Edition),Keyakizaka46,2017-07-19,288893,0,5,0,0.521,0.714,0.929,0.0000115,0.0654,-3.97,0.045,130.029,4,0.742,fall
茜さす,茜さす/everlasting snow,Aimer,2016-11-16,330253,39,6,1,0.412,0.0727,0.693,0,0.335,-4.119,0.033,73.989,4,0.366,fall
umbrella,umbrella,SEKAI NO OWARI,2020-06-01,276986,44,7,0,0.517,0.0492,0.704,0,0.163,-6.625,0.0414,139.986,4,0.324,fall
夜汽車は走る,幸せが溢れたら,indigo la End,2015-02-04,253986,38,7,1,0.434,0.00251,0.851,0.00000318,0.346,-3.495,0.043,138.109,4,0.558,fall
食虫植物,NEW ROMANCER,理芽,2021-07-21,157946,46,6,1,0.811,0.248,0.496,0.0000068,0.0977,-5.403,0.0395,122.959,4,0.769,fall
黒い羊,黒い羊 (Special Edition),Keyakizaka46,2019-02-27,307600,47,1,0,0.506,0.559,0.943,0,0.565,-2.869,0.0855,102.96,4,0.399,fall
生きていたんだよな,青春のエキサイトメント,Aimyon,2017-09-12,194120,53,1,1,0.601,0.244,0.901,0,0.0711,-2.516,0.0353,111.035,4,0.53,fall
Black Bird,Black Bird / Tiny Dancers / 思い出は奇麗で,Aimer,2018-09-05,229693,0,8,1,0.396,0.00629,0.885,0.00000273,0.0853,-4.49,0.0763,81.101,4,0.254,fall
命に嫌われている。,命に嫌われている。,Mafumafu,2020-12-25,274966,53,0,1,0.736,0.354,0.839,0.000273,0.117,-3.624,0.0377,99.989,4,0.767,fall
道,Fant?me,Hikaru Utada,2016-09-28,216013,0,5,0,0.754,0.305,0.716,0.0000013,0.114,-5.125,0.0515,117.087,4,0.397,fall
Ambitious,0,Superfly,2020-01-15,271973,38,6,1,0.483,0.00726,0.806,0.000994,0.123,-4.058,0.0375,131.885,4,0.403,fall
銀河街の悪夢,スノーマジックファンタジー,SEKAI NO OWARI,2014-01-22,378578,30,0,1,0.544,0.19,0.527,0.0000107,0.343,-9.53,0.0407,109.995,4,0.72,fall
ノンフィクション,ノンフィクション,Ken Hirai,2017-06-07,271918,33,5,1,0.6,0.182,0.624,0,0.101,-4.051,0.0295,78.9,4,0.504,fall
棒人間,人間開花,RADWIMPS,2016-11-23,283653,51,0,1,0.596,0.0615,0.872,0,0.137,-2.32,0.0628,115.544,3,0.718,fall
ヘビースモーク,odds and ends,にしな,2021-04-07,302142,53,10,1,0.419,0.00362,0.637,0.00049,0.286,-4.537,0.0311,138.045,4,0.487,fall
不協和音,不協和音 (Special Edition),Keyakizaka46,2017-04-05,249533,50,0,1,0.605,0.0091,0.858,0,0.0864,-5.075,0.033,119.952,4,0.854,fall
ライラック,カワキヲアメク,美波,2019-01-30,302666,54,0,1,0.505,0.00325,0.933,0,0.246,-2.602,0.0651,135.006,4,0.531,fall
PAKU,PAKU,asmi,2022-03-30,125771,62,7,1,0.84,0.296,0.889,0.0000352,0.344,-4.968,0.125,124.04,4,0.961,fall
Speaking,Speaking,Mrs. GREEN APPLE,2015-12-16,230720,35,2,1,0.428,0.0000855,0.899,0,0.0811,-1.874,0.087,173.035,4,0.767,fall
私は最強 - ウタ from ONE PIECE FILM RED,私は最強 (ウタ from ONE PIECE FILM RED),Ado,2022-06-22,257915,73,4,1,0.574,0.205,0.858,0,0.344,-2.911,0.0469,95.954,4,0.658,fall
Day by day,Buzz Communication,AAA,2011-02-16,271413,23,9,1,0.558,0.0108,0.83,0,0.337,-3.26,0.0258,90.012,4,0.516,fall
Starrrrrrr,Where's My History?,[Alexandros],2021-03-17,315173,45,1,1,0.526,0.00276,0.918,0,0.241,-3.984,0.109,142.903,4,0.655,fall
インフルエンサー,生まれてから初めて見た夢 (Complete Edition),Nogizaka46,2017-05-24,270093,0,6,1,0.554,0.555,0.853,0,0.314,-3.761,0.0439,132.151,4,0.651,fall
帰りたくなったよ,帰りたくなったよ,Ikimonogakari,2008-04-16,366533,0,3,1,0.424,0.0475,0.531,0.0000132,0.206,-5.402,0.0283,157.888,4,0.357,fall
HOME,Umbrella,Shota Shimizu,2008-11-26,352813,0,0,1,0.6,0.00939,0.606,0,0.0813,-4.405,0.0279,80.031,4,0.602,fall
Calling,WAY OF GLORY,AAA,2017-02-22,280398,37,11,1,0.582,0.0585,0.848,0,0.21,-3.472,0.0272,127.959,4,0.548,fall
One day,One day,The ROOTLESS,2010-10-20,258773,55,11,1,0.331,0.00000479,0.872,0,0.0978,-2.371,0.0339,178.019,4,0.253,fall
grace,grace,Fujii Kaze,2022-10-09,289541,66,7,1,0.668,0.0822,0.685,0.0257,0.319,-8.765,0.0472,108.971,4,0.637,fall
I’m proud 2005,涙の続き,Tomomi Kahara,2005-07-01,320480,50,7,1,0.642,0.4,0.939,0.000707,0.349,-6.76,0.0468,107.154,4,0.279,fall
どうしますか、あなたなら,どうしますか、あなたなら,Mao Abe,2019-08-21,260289,29,4,1,0.54,0.00912,0.944,0,0.132,-3.689,0.047,170.053,4,0.914,fall
アイデンティティ,アイデンティティ,sakanaction,2010-08-04,253217,45,6,0,0.489,0.174,0.879,0,0.0773,-2.512,0.061,140.051,4,0.593,fall
お勉強しといてよ,ぐされ,ZUTOMAYO,2021-02-10,279200,57,8,1,0.698,0.0841,0.875,0.000025,0.177,-3.318,0.0592,132.031,4,0.868,fall
夜永唄,ラムダに対する見解,KAMI WA SAIKORO WO FURANAI,2019-05-22,270754,55,11,1,0.531,0.525,0.487,0,0.0935,-6.744,0.0406,134.9,4,0.521,fall
さよならごっこ,ボイコット,amazarashi,2020-03-11,272613,39,6,0,0.622,0.384,0.717,0,0.193,-5.096,0.0856,146.996,4,0.592,fall
CQCQ,神様、僕は気づいてしまった,"Kami-sama, I have noticed",2017-07-26,219753,46,11,0,0.521,0.00682,0.917,0,0.315,-2.615,0.0924,143.911,4,0.711,fall
KING(Cover),KING(Cover),Meychan,2021-01-27,134774,41,10,1,0.476,0.021,0.921,0.000286,0.184,-3.97,0.0872,165.969,4,0.885,fall
リベリオン,リベリオン,Ado,2022-09-18,178064,68,1,1,0.519,0.00475,0.923,0,0.349,-2.638,0.127,177.78,4,0.581,fall
ゲゲゲイの鬼太郎,キテレツメンタルミュージック,TOKYO GEGEGAY,2016-12-22,275720,33,0,1,0.753,0.086,0.687,0.00108,0.546,-7.708,0.172,115.01,4,0.485,fall
金木犀,金木犀,whaledontsleep,2019-12-23,140487,52,7,0,0.69,0.0169,0.726,0,0.0904,-4.726,0.0878,123.028,4,0.779,fall
YUME日和,Delicious!?The Best of Hitomi Shimatani?,Hitomi Shimatani,2003-12-25,243766,41,10,0,0.556,0.0731,0.893,0,0.143,-4.194,0.0331,91.984,4,0.573,fall
autumn orange,GOLD SYMPHONY,AAA,2014-10-01,301160,42,5,1,0.621,0.0516,0.748,0,0.222,-5.42,0.0288,124.997,4,0.384,fall
ハッピーエンド,アンコール,back number,2016-12-28,314146,60,6,0,0.359,0.047,0.648,0.00000243,0.16,-3.36,0.0373,78.308,4,0.336,fall
恋人失格,失恋スクラップ,Koresawa,2020-01-15,298373,42,8,1,0.611,0.134,0.526,0,0.115,-5.802,0.0243,89.035,4,0.309,fall
死ぬのがいいわ,HELP EVER HURT NEVER,Fujii Kaze,2020-05-20,185573,84,6,0,0.6,0.167,0.76,0.0000407,0.189,-6.123,0.0451,158.075,4,0.519,fall
366日,HeartY,HY,2008-04-16,352506,60,8,1,0.378,0.675,0.426,0,0.207,-7.314,0.0308,152.03,4,0.184,fall
home,Memorial,Yusaku Kiyama,2009-02-11,232000,50,1,1,0.512,0.323,0.572,0,0.104,-6.889,0.0302,76.997,4,0.177,fall
月色ホライズン,月色ホライズン,[Alexandros],2019-07-05,281360,47,8,1,0.553,0.015,0.845,0,0.366,-3.977,0.049,128.064,4,0.677,fall
赤黄色の金木犀,フジファブリック,Fujifabric,2004-11-10,237266,47,3,1,0.27,0.0238,0.734,0.0000719,0.158,-6.751,0.0322,152.189,4,0.359,fall
蒼の世界,蒼の世界,Remioromen,2005-10-12,295693,20,2,1,0.485,0.00308,0.871,0.00000764,0.362,-4.039,0.0323,139.057,4,0.551,fall
Crazy Party Night ?ぱんぷきんの逆襲?,Crazy Party Night ?ぱんぷきんの逆襲?,Kyary Pamyu Pamyu,2015-09-02,254189,28,7,1,0.694,0.177,0.991,0,0.175,-2.795,0.034,127.975,4,0.708,fall
STORY,AAA 10th ANNIVERSARY BEST<Original AL>,AAA,2015-09-16,352226,36,10,0,0.594,0.197,0.812,0,0.165,-4.633,0.0354,109.983,4,0.489,fall
そっけない,ANTI ANTI GENERATION,RADWIMPS,2018-12-12,389466,0,0,1,0.627,0.591,0.399,0,0.101,-7.305,0.0364,109.919,4,0.186,fall
シャッター,壱,Yuuri,2022-01-12,248946,71,5,1,0.606,0.512,0.579,0,0.381,-5.582,0.033,149.988,4,0.661,fall
金木犀,THE END,AiNA THE END,2021-02-03,236101,38,2,0,0.553,0.435,0.589,0,0.0894,-6.171,0.0313,119.961,3,0.464,fall
セプテンバーさん,蝶々結び,Aimer,2016-08-17,302960,0,1,1,0.581,0.0386,0.91,0.00000362,0.191,-3.53,0.0345,123.99,4,0.683,fall
カメレオン,カメレオン,King Gnu,2022-02-28,193990,74,0,1,0.628,0.643,0.533,0,0.0733,-7.235,0.0417,79.953,4,0.459,fall
crying march,魅力がすごいよ,Gesu No Kiwami Otome,2014-09-18,202320,37,7,1,0.406,0.00931,0.881,0.0000028,0.283,-3.119,0.0899,164.865,4,0.481,fall
だから僕は音楽を辞めた,だから僕は音楽を辞めた,ヨルシカ,2019-04-10,242912,64,4,1,0.65,0.36,0.88,0.00369,0.23,-5.326,0.0283,124.985,4,0.921,fall
ヒトツボシ,ヒトツボシ ~ガリレオ Collection 2007-2022~,KOH+,2022-09-14,260440,61,6,1,0.485,0.0759,0.669,0,0.166,-3.772,0.0296,83.989,4,0.464,fall
ANTI-HERO,ANTI-HERO,SEKAI NO OWARI,2015-07-29,213182,44,1,1,0.85,0.0408,0.791,0.000138,0.0579,-3.943,0.0557,105.031,4,0.616,fall
『バッハの旋律を夜に聴いたせいです。』,『バッハの旋律を夜に聴いたせいです。』,sakanaction,2011-07-20,237300,42,6,1,0.728,0.0714,0.881,0,0.264,-2.87,0.0682,125.974,4,0.667,fall
Monster,Monster,ARASHI,2010-05-19,267514,52,10,0,0.656,0.192,0.939,0,0.373,-4.042,0.0792,134.946,4,0.744,fall
あまりにも素敵な夜だから,あまりにも素敵な夜だから,[Alexandros],2019-10-30,237573,45,8,1,0.649,0.0126,0.938,0.0000013,0.215,-4.258,0.0722,117.885,4,0.683,fall
Caffeine,From DROPOUT,Kiro Akiyama,2020-03-03,243253,60,6,1,0.73,0.00372,0.455,0.0118,0.0649,-5.467,0.0396,133.996,4,0.763,fall
POP SONG,POP SONG,Kenshi Yonezu,2022-02-07,199186,58,11,0,0.764,0.268,0.805,0.00000629,0.937,-6.47,0.118,109.975,4,0.834,fall
カワキヲアメク,カワキヲアメク,美波,2019-01-30,251933,71,6,0,0.541,0.0122,0.846,0.000149,0.163,-2.729,0.0551,129.138,4,0.524,fall
